customer_id,gender,age,married,number_of_dependents,city,zip_code,latitude,longitude,population,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_label,churn_score,cltv,churn_category,churn_reason,age_group
0094-OIFMO,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,57146,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120.0,127.49,1367.79,1.0,Churned,Yes,85.0,5980.0,Dissatisfaction,Product dissatisfaction,Senior Citizen
9947-OTFQU,Male,65,No,0,Covina,91722,34.097345,-117.906736,33817,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0.0,436.65,1510.9499999999998,1.0,Churned,Yes,86.0,4616.0,Competitor,Competitor had better devices,Senior Citizen
9514-JDSKI,Male,77,Yes,0,El Monte,91732,34.074492,-118.01462,62660,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0.0,0.0,40.2,2.0,Churned,Yes,65.0,5828.0,Dissatisfaction,Limited range of services,Senior Citizen
7273-TEFQD,Male,67,No,0,La Puente,91746,34.038983,-117.991372,30802,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0.0,0.0,132.2,2.0,Churned,Yes,96.0,2314.0,Price,Long distance charges,Senior Citizen
3606-TWKGI,Male,68,No,0,Rowland Heights,91748,33.976753,-117.897367,46342,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10.0,424.84,1799.14,1.0,Churned,Yes,84.0,2494.0,Competitor,Competitor had better devices,Senior Citizen
4385-GZQXV,Female,68,No,0,Ontario,91764,34.074087,-117.605618,49474,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0.0,150.88,1662.08,1.0,Churned,Yes,81.0,3810.0,Competitor,Competitor had better devices,Senior Citizen
3488-PGMQJ,Male,66,No,0,Alpine,91901,32.827184,-116.703729,16486,0,8,No offer,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0.0,14.24,620.79,2.0,Churned,Yes,80.0,4345.0,Dissatisfaction,Poor expertise of online support,Senior Citizen
7534-BFESC,Male,69,No,0,San Diego,92122,32.85723,-117.209774,34902,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0.0,740.88,2453.58,2.0,Churned,Yes,91.0,2018.0,Competitor,Competitor made better offer,Senior Citizen
8098-LLAZX,Female,74,No,0,San Diego,92122,32.85723,-117.209774,34902,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0.0,126.44,522.54,3.0,Churned,Yes,85.0,3677.0,Competitor,Competitor made better offer,Senior Citizen
0265-EDXBD,Male,76,Yes,0,San Diego,92122,32.85723,-117.209774,34902,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0.0,1514.88,3818.23,2.0,Churned,Yes,69.0,4105.0,Attitude,Attitude of support person,Senior Citizen
2840-XANRC,Male,77,Yes,0,San Diego,92122,32.85723,-117.209774,34902,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0.0,386.4,2617.4500000000003,2.0,Churned,Yes,73.0,2212.0,Competitor,Competitor made better offer,Senior Citizen
5020-ZSTTY,Female,70,No,0,San Diego,92122,32.85723,-117.209774,34902,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0.0,652.32,5002.42,1.0,Churned,Yes,83.0,4149.0,Competitor,Competitor made better offer,Senior Citizen
5804-LEPIM,Female,74,No,0,San Diego,92122,32.85723,-117.209774,34902,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0.0,26.34,165.39,3.0,Churned,Yes,73.0,2671.0,Other,Don't know,Senior Citizen
0623-IIHUG,Female,77,No,0,San Diego,92122,32.85723,-117.209774,34902,0,21,No offer,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0.0,0.0,840.1,1.0,Churned,Yes,90.0,4778.0,Competitor,Competitor made better offer,Senior Citizen
9057-MSWCO,Male,71,Yes,0,San Diego,92122,32.85723,-117.209774,34902,0,27,No offer,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140.0,0.0,945.1,1.0,Churned,Yes,91.0,2927.0,Competitor,Competitor made better offer,Senior Citizen
4895-TMWIR,Male,79,Yes,0,San Diego,92122,32.85723,-117.209774,34902,1,11,No offer,Yes,29.54,No,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0.0,324.94,539.69,1.0,Churned,Yes,80.0,5888.0,Competitor,Competitor made better offer,Senior Citizen
0533-BNWKF,Female,66,Yes,0,San Diego,92122,32.85723,-117.209774,34902,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90.0,2355.1,7319.799999999999,1.0,Churned,Yes,91.0,5502.0,Competitor,Competitor made better offer,Senior Citizen
0334-GDDSO,Male,77,No,0,San Diego,92122,32.85723,-117.209774,34902,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0.0,27.660000000000004,261.36,1.0,Churned,Yes,73.0,2818.0,Competitor,Competitor made better offer,Senior Citizen
5564-NEMQO,Female,80,No,0,Thermal,92274,33.53604,-116.119222,17018,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20.0,35.09,130.39,2.0,Churned,Yes,67.0,4902.0,Dissatisfaction,Network reliability,Senior Citizen
6235-VDHOM,Female,77,No,0,Riverside,92509,34.004379,-117.447864,63999,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0.0,0.0,131.05,2.0,Churned,Yes,89.0,4099.0,Dissatisfaction,Limited range of services,Senior Citizen
5609-CEBID,Female,77,No,0,Hemet,92544,33.644585,-116.871544,39264,0,20,No offer,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80.0,974.6,2837.0,1.0,Churned,Yes,87.0,2666.0,Competitor,Competitor had better devices,Senior Citizen
5956-VKDTT,Female,72,Yes,0,Moreno Valley,92557,33.970661,-117.255039,46214,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0.0,228.8,563.6,1.0,Churned,Yes,82.0,5273.0,Dissatisfaction,Product dissatisfaction,Senior Citizen
0257-ZESQC,Female,80,Yes,0,Perris,92571,33.828289,-117.201666,26357,2,27,No offer,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0.0,189.54,2118.89,1.0,Churned,Yes,91.0,4517.0,Attitude,Attitude of support person,Senior Citizen
2865-TCHJW,Female,74,No,0,Anaheim,92807,33.848733,-117.788357,36301,0,4,No offer,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0.0,193.4,539.6,1.0,Churned,Yes,74.0,5808.0,Competitor,Competitor had better devices,Senior Citizen
5192-EBGOV,Female,68,No,0,Brea,92823,33.924143,-117.79387,1408,0,1,No offer,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0.0,45.81,131.51,1.0,Churned,Yes,66.0,4880.0,Competitor,Competitor had better devices,Senior Citizen
3419-SNJJD,Female,78,Yes,0,Yorba Linda,92887,33.884073,-117.732197,20893,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0.0,1195.35,7981.75,1.0,Churned,Yes,91.0,4196.0,Attitude,Attitude of support person,Senior Citizen
4554-YGZIH,Male,75,Yes,0,Summerland,93067,34.420998,-119.60137,576,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0.0,1123.0800000000002,5670.33,2.0,Churned,Yes,96.0,5059.0,Competitor,Competitor made better offer,Senior Citizen
5099-BAILX,Male,77,Yes,0,Santa Barbara,93101,34.419203,-119.710008,31727,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0.0,624.36,5312.259999999999,2.0,Churned,Yes,65.0,2728.0,Competitor,Competitor made better offer,Senior Citizen
4913-EHYUI,Male,80,Yes,0,Alpaugh,93201,35.869626,-119.498771,1054,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0.0,2732.8,8527.449999999999,1.0,Churned,Yes,91.0,6268.0,Competitor,Competitor offered higher download speeds,Senior Citizen
1626-ERCMM,Male,75,Yes,0,Camp Nelson,93208,36.057458,-118.591951,191,7,20,No offer,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0.0,106.2,2005.85,1.0,Churned,Yes,84.0,5604.0,Competitor,Competitor had better devices,Senior Citizen
5644-PDMZC,Female,69,No,0,Delano,93215,35.772244,-119.209689,37280,0,2,No offer,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0.0,94.94,256.44,2.0,Churned,Yes,80.0,2065.0,Attitude,Attitude of support person,Senior Citizen
4160-AMJTL,Female,74,No,0,Fellows,93224,35.215731,-119.57013,626,0,8,No offer,Yes,27.95,No,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0.0,223.6,387.9,2.0,Churned,Yes,83.0,5432.0,Attitude,Attitude of support person,Senior Citizen
0823-HSCDJ,Male,76,No,0,Temecula,92592,33.507255,-117.029473,46171,0,52,No offer,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30.0,0.0,2580.9,2.0,Churned,Yes,90.0,5597.0,Competitor,Competitor made better offer,Senior Citizen
0067-DKWBL,Male,69,No,0,San Diego,92129,32.961064,-117.134917,47224,0,2,No offer,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0.0,87.98,179.07999999999998,2.0,Churned,Yes,95.0,3475.0,Competitor,Competitor made better offer,Senior Citizen
5244-IRFIH,Male,72,Yes,0,San Diego,92129,32.961064,-117.134917,47224,1,33,No offer,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0.0,916.74,4022.29,3.0,Churned,Yes,91.0,4333.0,Other,Poor expertise of online support,Senior Citizen
2684-EIWEO,Female,69,No,0,San Diego,92129,32.961064,-117.134917,47224,0,30,No offer,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0.0,1376.4,4134.55,1.0,Churned,Yes,90.0,2482.0,Competitor,Competitor made better offer,Senior Citizen
6683-VLCTZ,Male,73,No,0,San Diego,92129,32.961064,-117.134917,47224,0,20,No offer,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120.0,888.8,2851.6,3.0,Churned,Yes,92.0,5444.0,Competitor,Competitor made better offer,Senior Citizen
0691-IFBQW,Female,65,No,0,Biola,93606,36.798882,-120.019511,807,0,46,No offer,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0.0,109.02,4983.820000000001,1.0,Churned,Yes,81.0,2403.0,Competitor,Competitor made better offer,Senior Citizen
3643-AHCFP,Male,74,Yes,0,Selma,93662,36.545322,-119.642281,26213,1,7,No offer,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0.0,153.37,797.72,3.0,Churned,Yes,83.0,3265.0,Competitor,Competitor made better offer,Senior Citizen
9231-ZJYAM,Female,65,No,0,Squaw Valley,93675,36.719141,-119.202677,3146,0,4,No offer,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0.0,147.72,440.52,3.0,Churned,Yes,72.0,5301.0,Other,Moved,Senior Citizen
0727-BMPLR,Female,66,No,0,Fresno,93706,36.654614,-119.903674,35790,0,55,No offer,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100.0,2055.9,7665.200000000001,3.0,Churned,Yes,83.0,5679.0,Competitor,Competitor offered higher download speeds,Senior Citizen
0947-MUGVO,Male,71,Yes,0,Jolon,93928,35.930782,-121.189757,254,1,20,No offer,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0.0,107.4,1570.9,1.0,Churned,Yes,95.0,5849.0,Competitor,Competitor had better devices,Senior Citizen
0781-LKXBR,Male,65,No,0,San Francisco,94102,37.7795,-122.419233,28998,0,9,No offer,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0.0,438.39,1356.99,1.0,Churned,Yes,70.0,4038.0,Competitor,Competitor had better devices,Senior Citizen
1907-UBQFC,Male,69,No,0,San Francisco,94108,37.791998,-122.408653,13723,0,10,No offer,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30.0,54.6,773.25,1.0,Churned,Yes,91.0,3189.0,Competitor,Competitor had better devices,Senior Citizen
6513-EECDB,Male,75,Yes,0,San Francisco,94114,37.758085,-122.434801,30587,0,1,No offer,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0.0,0.0,36.92,110.47,2.0,Churned,Yes,94.0,4369.0,Price,Price too high,Senior Citizen
7074-IEVOJ,Female,75,No,0,San Francisco,94130,37.820894,-122.369725,1458,0,3,No offer,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0.0,125.7,330.75,1.0,Churned,Yes,91.0,3501.0,Dissatisfaction,Product dissatisfaction,Senior Citizen
4750-ZRXIU,Female,68,No,0,Palo Alto,94304,37.386978,-122.177746,1723,0,4,No offer,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0.0,26.72,386.8200000000001,1.0,Churned,Yes,83.0,2467.0,Competitor,Competitor had better devices,Senior Citizen
7028-DVOIQ,Male,71,No,0,Birds Landing,94512,38.140719,-121.838298,138,0,35,No offer,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120.0,729.05,4244.85,1.0,Churned,Yes,82.0,2074.0,Other,Don't know,Senior Citizen
4208-UFFGW,Male,80,No,0,Byron,94514,37.83323,-121.601461,10153,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0.0,53.24,138.39,2.0,Churned,Yes,84.0,5900.0,Other,Don't know,Senior Citizen
9889-TMAHG,Male,66,No,0,Fremont,94539,37.516791,-121.899117,46917,0,8,No offer,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0.0,92.56,924.91,1.0,Churned,Yes,74.0,5084.0,Competitor,Competitor had better devices,Senior Citizen
8919-FYFQZ,Male,73,Yes,0,Livermore,94550,37.571748,-121.659562,75929,2,44,No offer,No,0.0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0.0,0.0,1359.7,1.0,Churned,Yes,96.0,4829.0,Competitor,Competitor had better devices,Senior Citizen
6646-QVXLR,Male,77,Yes,0,Napa,94558,38.489789,-122.27011,63947,1,62,No offer,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0.0,440.82,6824.17,1.0,Churned,Yes,91.0,5052.0,Competitor,Competitor had better devices,Senior Citizen
9369-XFEHK,Female,76,Yes,0,Pleasanton,94566,37.633361,-121.862395,36669,1,33,No offer,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0.0,1095.27,3751.77,2.0,Churned,Yes,72.0,3601.0,Competitor,Competitor offered more data,Senior Citizen
1374-DMZUI,Female,65,No,0,San Ramon,94583,37.766556,-121.976784,44078,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0.0,198.0,622.45,2.0,Churned,Yes,91.0,5419.0,Competitor,Competitor made better offer,Senior Citizen
1989-PRJHP,Male,75,Yes,0,Pleasanton,94588,37.685052,-121.912061,28568,1,27,No offer,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0.0,286.2,2180.15,1.0,Churned,Yes,65.0,2377.0,Competitor,Competitor had better devices,Senior Citizen
4822-RVYBB,Male,75,No,0,Berkeley,94704,37.871416,-122.246597,21205,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0.0,323.6,1143.0,1.0,Churned,Yes,90.0,5906.0,Attitude,Attitude of support person,Senior Citizen
4184-TJFAN,Female,68,Yes,0,Berkeley,94707,37.897753,-122.279391,11889,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0.0,77.31,351.06,1.0,Churned,Yes,68.0,4486.0,Attitude,Attitude of support person,Senior Citizen
4145-UQXUQ,Female,71,No,0,Berkeley,94710,37.872902,-122.303708,8157,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0.0,343.44,1073.39,1.0,Churned,Yes,81.0,5662.0,Competitor,Competitor had better devices,Senior Citizen
1236-WFCDV,Male,74,No,0,Greenbrae,94904,37.946617,-122.563571,12010,0,14,No offer,Yes,11.31,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0.0,158.34,1424.4399999999998,3.0,Churned,Yes,96.0,4777.0,Competitor,Competitor offered more data,Senior Citizen
1271-SJBGZ,Male,77,No,0,Forest Knolls,94933,38.010092,-122.689442,1025,0,12,No offer,No,0.0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0.0,0.0,526.95,1.0,Churned,Yes,74.0,2437.0,Competitor,Competitor had better devices,Senior Citizen
4441-NIHPT,Female,73,No,0,Freedom,95019,36.936228,-121.785559,4753,0,13,No offer,Yes,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0.0,524.81,1465.16,1.0,Churned,Yes,90.0,2995.0,Competitor,Competitor had better devices,Senior Citizen
8999-BOHSE,Female,68,No,0,Gilroy,95020,37.03889,-121.528955,49968,0,11,No offer,Yes,3.96,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0.0,43.56,1091.26,2.0,Churned,Yes,89.0,2202.0,Attitude,Attitude of support person,Senior Citizen
